SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,word,base,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,famsize
S103,638,0,NW_S_SIMP,205,9,NEXTNESS,BA_m21,nextness,next,Complex,ness,Crepaldi,4,7415,8.91,S,L,4,8,2,Small
S103,996,0,NW_S_SIMP,205,10,BASKORY,BA_m21,baskory,bask,Complex,ory,Crepaldi,1,68,4.22,S,S,4,7,2,Small
S103,993,0,NW_S_SIMP,205,11,DIGORY,BA_m21,digory,dig,Complex,ory,Crepaldi,3,777,6.66,S,L,3,6,2,Small
S103,909,1,NW_S_SIMP,205,12,WARNORY,BA_m21,warnory,warn,Complex,ory,Crepaldi,5,1697,7.44,S,L,4,7,2,Small
S103,927,1,NW_S_SIMP,205,13,BOLTOUS,BA_m21,boltous,bolt,Complex,ous,Crepaldi,6,348,5.85,S,S,4,7,2,Small
S103,854,0,NW_S_SIMP,205,14,HELMETOUS,BA_m21,helmetous,helmet,Complex,ous,Crepaldi,6,242,5.49,S,S,6,9,2,Small
S103,843,1,NW_S_SIMP,205,15,SCHEMENESS,BA_m21,schemeness,scheme,Complex,ness,Graves,3,1619,7.39,S,L,6,10,2,Small
S103,994,0,NW_S_SIMP,205,16,ACREMENT,BA_m21,acrement,acre,Complex,ment,Rastle,3,708,6.56,S,L,4,8,2,Small
S103,991,0,NW_S_SIMP,205,17,TILTARY,BA_m21,tiltary,tilt,Complex,ary,RastleFiller,3,328,5.79,S,S,4,7,2,Small
S103,706,1,NW_S_SIMP,205,18,MEDICALARY,BA_m21,medicalary,medical,Complex,ary,RastleFiller,3,1323,7.19,S,L,7,10,2,Small
S103,790,1,NW_S_SIMP,205,19,ZOOMFUL,BA_m21,zoomful,zoom,Complex,ful,RastleFiller,2,34,3.53,S,S,4,7,2,Small
S103,937,1,NW_S_SIMP,205,20,YIELDIST,BA_m21,yieldist,yield,Complex,ist,RastleFiller,4,613,6.42,S,S,5,8,2,Small
S103,860,1,NW_S_SIMP,205,21,WINKITY,BA_m21,winkity,wink,Complex,ity,RastleFiller,4,216,5.38,S,S,4,7,2,Small
S103,709,1,NW_S_SIMP,205,22,THRILLANCE,BA_m21,thrillance,thrill,Complex,ance,XuTaft,4,307,5.73,S,S,6,10,2,Small
S103,994,0,NW_S_SIMP,205,23,NULLISH,BA_m21,nullish,null,Complex,ish,XuTaft,4,45,3.81,S,S,4,7,2,Small
S103,996,0,NW_S_SIMP,205,24,FEVERIZE,BA_m21,feverize,fever,Complex,ize,XuTaft,4,594,6.39,S,S,5,8,2,Small
